Region,Year,Gender,ICD-10_Cause,ICD-10_Code,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year
Census Region 1: Northeast,1999.0,Female,#Malignant neoplasms (C00-C97),GR113-019,2.9,3.2,9.8,41.1,127.4,2.4,329.9,693.1,1098.9,1523.2,
Census Region 1: Northeast,1999.0,Female,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,,0.7,1.2,3.3,,10.0,37.8,88.1,243.3,
Census Region 1: Northeast,1999.0,Female,#Nutritional deficiencies (E40-E64),GR113-047,,,,,,,,1.6,6.6,36.9,
Census Region 1: Northeast,1999.0,Female,#Parkinson disease (G20-G21),GR113-051,,,,,,,,5.9,30.2,79.7,
Census Region 1: Northeast,1999.0,Female,#Peptic ulcer (K25-K28),GR113-090,,,,,,,,3.0,9.0,25.1,
Census Region 1: Northeast,1999.0,Female,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,,0.7,,1.4,6.1,28.4,147.8,
Census Region 1: Northeast,1999.0,Female,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,,,0.7,0.5,,,,,,,
Census Region 1: Northeast,1999.0,Female,#Septicemia (A40-A41),GR113-010,,,0.7,1.7,4.6,,12.9,34.2,92.0,287.6,
Census Region 1: Northeast,1999.0,Female,#Tuberculosis (A16-A19),GR113-004,,,,,,,,,1.4,,
Census Region 1: Northeast,1999.0,Female,#Viral hepatitis (B15-B19),GR113-015,,,,0.5,1.6,,2.0,3.4,3.5,3.0,
Census Region 1: Northeast,1999.0,Female,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,1.5,,,,,,1.0,1.2,3.6,3.9,
Census Region 1: Northeast,1999.0,Female,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,1.2,2.5,4.9,3.6,,1.1,,1.7,,
Census Region 1: Northeast,1999.0,Female,Acute and subacute endocarditis (I33),GR113-065,,,,,,,,1.1,2.8,,
Census Region 1: Northeast,1999.0,Female,Acute myocardial infarction (I21-I22),GR113-059,,,,2.5,11.7,,45.7,147.8,428.8,1296.9,
Census Region 1: Northeast,1999.0,Female,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,,0.9,,2.0,5.3,13.2,20.4,
Census Region 1: Northeast,1999.0,Female,Alcoholic liver disease (K70),GR113-094,,,,1.7,3.6,,4.4,3.3,2.8,,
Census Region 1: Northeast,1999.0,Female,"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)",GR113-043,,0.9,1.5,4.4,12.7,0.6,35.0,81.5,149.8,243.6,
Census Region 1: Northeast,1999.0,Female,All other diseases (Residual) ,GR113-111,3.1,3.3,5.7,12.9,24.8,1.7,48.7,115.2,330.1,1342.6,24.2
Census Region 1: Northeast,1999.0,Female,"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)",GR113-063,,,,1.9,11.0,,46.1,177.2,651.1,2904.1,
Census Region 1: Northeast,1999.0,Female,"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)",GR113-068,,1.2,2.7,5.5,11.7,,28.6,75.8,229.5,803.4,9.3
Census Region 1: Northeast,1999.0,Female,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,,1.5,1.1,1.2,0.6,,,,,,
Census Region 1: Northeast,1999.0,Female,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,1.9,1.5,1.7,1.9,0.8,,0.9,,,,
Census Region 1: Northeast,1999.0,Female,Asthma (J45-J46),GR113-085,,,0.7,1.0,2.5,,2.9,4.1,6.9,15.0,
Census Region 1: Northeast,1999.0,Female,"Atherosclerotic cardiovascular disease, so described (I25.0)",GR113-062,,,,1.2,5.6,,20.2,48.2,137.0,524.4,
Census Region 1: Northeast,1999.0,Female,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,,,,,,,,0.9,1.7,9.6,
Census Region 1: Northeast,1999.0,Female,"Certain other intestinal infections (A04,A07-A09)",GR113-003,,,,,,,,1.1,4.4,12.9,
Census Region 1: Northeast,1999.0,Female,"Diseases of pericardium and acute myocarditis (I30-I31,I40)",GR113-066,,,,,,,,,1.3,,
Census Region 1: Northeast,1999.0,Female,Emphysema (J43),GR113-084,,,,,0.6,,5.4,20.4,38.3,42.2,
Census Region 1: Northeast,1999.0,Female,"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)",GR113-131,,0.7,1.5,2.5,1.4,,,,,,
Census Region 1: Northeast,1999.0,Female,Falls (W00-W19),GR113-118,,,,0.6,0.9,,1.5,6.0,21.7,75.2,
Census Region 1: Northeast,1999.0,Female,Heart failure (I50),GR113-067,,,,,1.0,,4.8,25.7,114.2,616.7,
Census Region 1: Northeast,1999.0,Female,Hodgkin disease (C81),GR113-038,,,,,,,,1.5,1.8,,
Census Region 1: Northeast,1999.0,Female,Hypertensive heart and renal disease (I13),GR113-057,,,,,,,,1.4,6.0,20.7,
Census Region 1: Northeast,1999.0,Female,Hypertensive heart disease (I11),GR113-056,,,,1.1,3.3,,7.7,14.0,36.3,163.4,
Census Region 1: Northeast,1999.0,Female,Influenza (J09-J11),GR113-077,,,,,,,,,2.5,17.6,
Census Region 1: Northeast,1999.0,Female,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,,0.7,0.9,1.1,1.1,,0.8,,,,
Census Region 1: Northeast,1999.0,Female,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,,2.3,2.5,3.9,3.4,,3.0,2.5,3.6,,
Census Region 1: Northeast,1999.0,Female,Ischemic heart diseases (I20-I25),GR113-058,,,0.8,5.7,28.6,,112.7,375.1,1221.2,4742.6,
Census Region 1: Northeast,1999.0,Female,Leukemia (C91-C95),GR113-040,,0.9,0.9,1.7,3.1,0.7,8.6,20.4,39.2,65.5,
Census Region 1: Northeast,1999.0,Female,Major cardiovascular diseases (I00-I78),GR113-053,1.6,2.0,5.6,18.7,59.5,0.7,195.6,624.4,2107.1,8148.1,12.7
Census Region 1: Northeast,1999.0,Female,Malignant melanoma of skin (C43),GR113-028,,,,0.8,2.1,,2.9,5.3,9.8,9.9,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of bladder (C67),GR113-035,,,,,0.9,,2.9,8.4,21.1,41.6,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of breast (C50),GR113-029,,,2.2,11.4,34.3,,61.9,96.5,137.4,229.1,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of cervix uteri (C53),GR113-030,,,0.8,3.0,5.2,,6.2,7.9,7.5,8.6,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of esophagus (C15),GR113-021,,,,,0.9,,3.7,7.2,11.9,22.4,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of larynx (C32),GR113-026,,,,,,,1.6,3.3,3.1,3.0,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of ovary (C56),GR113-032,,,,2.3,9.3,,21.7,35.9,53.8,53.3,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of pancreas (C25),GR113-025,,,,0.9,4.7,,17.5,40.9,73.5,99.6,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasm of stomach (C16),GR113-022,,,,1.0,2.1,,5.7,12.4,25.3,49.9,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of colon, rectum and anus (C18-C21)",GR113-023,,,,3.2,9.7,,27.5,70.5,140.0,271.8,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)",GR113-031,,,,0.5,2.6,,9.8,20.7,29.1,36.5,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasms of kidney and renal pelvis (C64-C65),GR113-034,,,,0.4,1.5,,4.9,11.0,16.4,25.5,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,,,,,1.4,,2.9,4.9,8.8,16.5,
Census Region 1: Northeast,1999.0,Female,Malignant neoplasms of liver and intrahepatic bile ducts (C22),GR113-024,,,,0.5,1.4,,4.5,11.3,19.7,25.5,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",GR113-037,,1.4,1.9,4.2,8.1,0.8,25.2,64.8,122.4,167.7,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)",GR113-036,,,0.7,1.5,4.5,0.8,7.6,12.3,17.1,12.3,
Census Region 1: Northeast,1999.0,Female,"Malignant neoplasms of trachea, bronchus and lung (C33-C34)",GR113-027,,,,6.1,25.6,,88.5,198.4,252.0,206.5,
Census Region 1: Northeast,1999.0,Female,Malnutrition (E40-E46),GR113-048,,,,,,,,1.6,6.1,34.5,
Census Region 1: Northeast,1999.0,Female,"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",GR113-114,1.9,11.3,5.1,4.5,4.3,2.2,6.7,9.7,14.9,13.5,
Census Region 1: Northeast,1999.0,Female,"Multiple myeloma and immunoproliferative neoplasms (C88,C90)",GR113-041,,,,,1.2,,5.1,14.8,26.6,30.5,
Census Region 1: Northeast,1999.0,Female,Non-Hodgkin lymphoma (C82-C85),GR113-039,,,0.6,1.9,3.3,,10.8,27.9,54.7,69.4,
Census Region 1: Northeast,1999.0,Female,"Nontransport accidents (W00-X59,Y86)",GR113-117,3.9,2.5,3.8,7.1,6.3,1.2,6.7,15.1,54.5,200.3,8.4
Census Region 1: Northeast,1999.0,Female,Other acute ischemic heart diseases (I24),GR113-060,,,,,,,,1.9,4.4,17.3,
Census Region 1: Northeast,1999.0,Female,"Other acute lower respiratory infections (J20-J22,U04)",GR113-079,,,,,,,,,,6.8,
Census Region 1: Northeast,1999.0,Female,"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)",GR113-133,,0.7,1.5,2.5,1.4,,,,,,
Census Region 1: Northeast,1999.0,Female,"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)",GR113-018,,,,0.8,1.7,,3.0,6.7,11.6,24.6,
Census Region 1: Northeast,1999.0,Female,"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)",GR113-123,,,,0.9,1.3,,2.7,6.8,27.1,117.1,
Census Region 1: Northeast,1999.0,Female,Other chronic liver disease and cirrhosis (K73-K74),GR113-095,,,,1.5,2.9,,6.5,16.2,23.4,18.6,
Census Region 1: Northeast,1999.0,Female,"Other chronic lower respiratory diseases (J44,J47)",GR113-086,,,,0.5,4.1,,24.4,98.7,242.7,424.2,
Census Region 1: Northeast,1999.0,Female,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,,,0.7,0.4,,,,,,,
Census Region 1: Northeast,1999.0,Female,"Other diseases of arteries, arterioles and capillaries (I72-I78)",GR113-074,,,,,0.7,,2.2,7.3,22.9,82.3,
Census Region 1: Northeast,1999.0,Female,Other diseases of circulatory system (I71-I78),GR113-072,,,,0.7,1.3,,4.9,19.7,57.1,148.2,
Census Region 1: Northeast,1999.0,Female,"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)",GR113-089,,,0.6,0.9,2.6,,7.7,23.2,58.7,151.2,6.2
Census Region 1: Northeast,1999.0,Female,Other disorders of circulatory system (I80-I99),GR113-075,,,,,0.7,,1.7,3.6,8.7,21.6,
Census Region 1: Northeast,1999.0,Female,"Other forms of chronic ischemic heart disease (I20,I25)",GR113-061,,,,3.2,16.6,,66.3,225.4,788.1,3428.4,
Census Region 1: Northeast,1999.0,Female,Other heart diseases (I26-I51),GR113-064,,1.3,2.8,6.1,13.0,0.6,34.4,103.6,347.7,1424.1,10.2
Census Region 1: Northeast,1999.0,Female,"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)",GR113-115,,,,,,,,,1.2,,
Census Region 1: Northeast,1999.0,Female,Pneumonia (J12-J18),GR113-078,,,0.7,1.8,3.0,,8.8,29.9,133.1,710.3,
Census Region 1: Northeast,1999.0,Female,Renal failure (N17-N19),GR113-100,,,0.7,1.2,3.1,,9.7,37.3,86.6,240.1,
Census Region 1: Northeast,1999.0,Female,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR113-110,,1.1,2.4,4.4,4.4,,5.1,11.5,22.4,103.9,62.6
Census Region 1: Northeast,1999.0,Female,"Transport accidents (V01-V99,Y85)",GR113-113,2.1,11.7,5.5,4.9,4.7,2.4,7.3,10.2,16.3,15.0,
Census Region 1: Northeast,1999.0,Male,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,7.5,38.6,36.4,39.9,37.2,6.4,33.0,48.9,120.0,332.3,9.8
Census Region 1: Northeast,1999.0,Male,#Alzheimer disease (G30),GR113-052,,,,,,,2.1,13.5,85.1,340.6,
Census Region 1: Northeast,1999.0,Male,#Anemias (D50-D64),GR113-045,,,,0.5,0.6,,1.2,2.5,10.0,38.5,
Census Region 1: Northeast,1999.0,Male,#Aortic aneurysm and dissection (I71),GR113-073,,,,1.2,2.3,,7.7,30.5,68.7,126.1,
Census Region 1: Northeast,1999.0,Male,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,2.0,17.1,12.8,6.4,4.3,0.7,2.6,2.4,2.1,,6.8
Census Region 1: Northeast,1999.0,Male,#Atherosclerosis (I70),GR113-071,,,,,,,2.4,7.9,33.5,128.9,
Census Region 1: Northeast,1999.0,Male,#Cerebrovascular diseases (I60-I69),GR113-070,,,1.4,4.3,14.2,,36.4,122.3,418.3,1210.2,
Census Region 1: Northeast,1999.0,Male,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,404.3
Census Region 1: Northeast,1999.0,Male,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,,,,2.8,6.1,24.2,
Census Region 1: Northeast,1999.0,Male,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,0.8,7.1,22.3,,29.9,40.8,40.1,40.8,
Census Region 1: Northeast,1999.0,Male,#Chronic lower respiratory diseases (J40-J47),GR113-082,,0.7,0.8,1.8,6.8,,42.2,169.4,441.2,921.1,
Census Region 1: Northeast,1999.0,Male,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,0.5,0.7,,1.5,3.5,6.9,12.7,
Census Region 1: Northeast,1999.0,Male,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,3.5,0.9,1.0,1.1,1.6,1.0,2.0,2.1,3.9,7.9,114.8
Census Region 1: Northeast,1999.0,Male,#Diabetes mellitus (E10-E14),GR113-046,,,1.7,4.3,13.4,,39.8,96.6,197.7,313.3,
Census Region 1: Northeast,1999.0,Male,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,1.4,2.9,8.4,37.5,130.1,0.8,366.6,965.3,2452.4,7114.6,12.1
Census Region 1: Northeast,1999.0,Male,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,,,4.3,10.3,
Census Region 1: Northeast,1999.0,Male,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,,0.7,2.3,,6.4,16.6,37.1,105.5,
Census Region 1: Northeast,1999.0,Male,#Hernia (K40-K46),GR113-092,,,,,,,,1.3,3.3,9.1,
Census Region 1: Northeast,1999.0,Male,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,0.7,9.3,26.9,28.1,,13.7,6.2,2.1,,
Census Region 1: Northeast,1999.0,Male,#Hyperplasia of prostate (N40),GR113-103,,,,,,,,,2.0,12.3,
Census Region 1: Northeast,1999.0,Male,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,0.5,1.0,2.2,,6.6,18.4,47.6,114.2,
Census Region 1: Northeast,1999.0,Male,#Influenza and pneumonia (J09-J18),GR113-076,,,0.9,2.5,6.3,,13.4,53.8,212.0,956.4,7.7
Census Region 1: Northeast,1999.0,Male,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,12.0,16.2,17.5,16.4,0.7,16.2,16.0,24.2,41.6,
Census Region 1: Northeast,1999.0,Male,#Malignant neoplasms (C00-C97),GR113-019,2.9,5.4,10.3,32.6,129.9,2.4,415.0,1023.6,1774.3,2806.3,
Census Region 1: Northeast,1999.0,Male,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,,0.8,1.8,4.3,,14.5,49.6,154.7,423.9,
Census Region 1: Northeast,1999.0,Male,#Nutritional deficiencies (E40-E64),GR113-047,,,,,,,,1.9,6.9,37.7,
Census Region 1: Northeast,1999.0,Male,#Parkinson disease (G20-G21),GR113-051,,,,,,,1.1,14.1,78.6,164.6,
Census Region 1: Northeast,1999.0,Male,#Peptic ulcer (K25-K28),GR113-090,,,,,0.9,,2.0,5.7,13.0,32.9,
Census Region 1: Northeast,1999.0,Male,"#Pneumoconioses and chemical effects (J60-J66,J68)",GR113-087,,,,,,,,3.0,16.2,33.7,
Census Region 1: Northeast,1999.0,Male,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,0.5,0.7,,3.3,12.7,63.2,286.3,
Census Region 1: Northeast,1999.0,Male,#Septicemia (A40-A41),GR113-010,,,1.0,2.2,5.8,,14.5,43.6,118.9,308.1,8.3
Census Region 1: Northeast,1999.0,Male,#Tuberculosis (A16-A19),GR113-004,,,,,,,,1.2,2.4,,
Census Region 1: Northeast,1999.0,Male,#Viral hepatitis (B15-B19),GR113-015,,,,2.1,6.1,,3.6,4.9,6.0,,
Census Region 1: Northeast,1999.0,Male,Accidental discharge of firearms (W32-W34),GR113-119,,0.7,,,,,,,,,
Census Region 1: Northeast,1999.0,Male,Accidental drowning and submersion (W65-W74),GR113-120,1.4,2.0,1.7,1.0,1.2,0.8,1.0,1.2,,,
Census Region 1: Northeast,1999.0,Male,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,1.8,0.6,0.8,1.2,1.3,0.7,1.2,2.6,3.9,,
Census Region 1: Northeast,1999.0,Male,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,4.3,11.2,17.2,12.1,,2.9,1.5,2.1,,
Census Region 1: Northeast,1999.0,Male,Acute and subacute endocarditis (I33),GR113-065,,,,,0.7,,0.9,1.3,3.5,,
Census Region 1: Northeast,1999.0,Male,Acute myocardial infarction (I21-I22),GR113-059,,,1.0,8.2,39.8,,117.8,298.2,669.3,1602.4,
Census Region 1: Northeast,1999.0,Male,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,,,,1.3,3.7,5.7,12.3,
Census Region 1: Northeast,1999.0,Male,Alcoholic liver disease (K70),GR113-094,,,,4.1,11.8,,15.1,13.9,7.3,,
Census Region 1: Northeast,1999.0,Male,"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)",GR113-043,,1.8,2.6,5.4,17.7,0.6,49.6,114.6,206.4,337.8,
Census Region 1: Northeast,1999.0,Male,All other diseases (Residual) ,GR113-111,5.2,4.4,9.5,20.5,40.4,2.1,65.8,143.4,369.2,1137.3,33.1
Census Region 1: Northeast,1999.0,Male,"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)",GR113-063,,,1.3,8.7,34.3,,112.1,360.0,1052.2,3240.5,
Census Region 1: Northeast,1999.0,Male,"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)",GR113-068,,2.3,4.4,10.2,22.8,0.6,55.3,126.5,312.7,893.0,11.2
Census Region 1: Northeast,1999.0,Male,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,,14.1,9.6,3.7,2.1,,0.9,,,,
Census Region 1: Northeast,1999.0,Male,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,1.8,3.0,3.2,2.7,2.3,,1.7,1.9,,,6.8
Census Region 1: Northeast,1999.0,Male,Asthma (J45-J46),GR113-085,,0.7,0.7,1.1,1.1,,1.8,3.2,4.7,9.1,
Census Region 1: Northeast,1999.0,Male,"Atherosclerotic cardiovascular disease, so described (I25.0)",GR113-062,,,0.6,6.1,22.8,,55.6,110.1,208.5,554.4,
Census Region 1: Northeast,1999.0,Male,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,,,,,,,,,3.0,9.9,
Census Region 1: Northeast,1999.0,Male,"Certain other intestinal infections (A04,A07-A09)",GR113-003,,,,,,,,1.2,5.1,13.5,
Census Region 1: Northeast,1999.0,Male,"Diseases of pericardium and acute myocarditis (I30-I31,I40)",GR113-066,,,,,,,1.0,,,,
Census Region 1: Northeast,1999.0,Male,Emphysema (J43),GR113-084,,,,,1.1,,7.2,29.4,60.7,96.0,
Census Region 1: Northeast,1999.0,Male,"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)",GR113-131,,2.6,3.9,4.6,3.3,,1.6,,,,
Census Region 1: Northeast,1999.0,Male,Falls (W00-W19),GR113-118,,1.2,1.5,2.1,3.3,,7.0,11.4,37.9,123.7,
Census Region 1: Northeast,1999.0,Male,Heart failure (I50),GR113-067,,,,0.6,2.0,,7.9,39.7,146.1,642.0,
Census Region 1: Northeast,1999.0,Male,Hodgkin disease (C81),GR113-038,,,,,0.8,,1.2,1.8,2.3,,
Census Region 1: Northeast,1999.0,Male,Hypertensive heart and renal disease (I13),GR113-057,,,,,,,,2.0,6.2,24.6,
Census Region 1: Northeast,1999.0,Male,Hypertensive heart disease (I11),GR113-056,,,,2.3,5.9,,12.5,19.1,39.3,119.0,
Census Region 1: Northeast,1999.0,Male,Influenza (J09-J11),GR113-077,,,,,,,,,3.1,13.1,
Census Region 1: Northeast,1999.0,Male,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,,6.1,7.0,6.8,7.7,,9.1,9.5,16.3,21.4,
Census Region 1: Northeast,1999.0,Male,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,,5.9,9.3,10.7,8.7,0.5,7.1,6.5,7.9,20.2,
Census Region 1: Northeast,1999.0,Male,Ischemic heart diseases (I20-I25),GR113-058,,,2.9,23.3,97.4,,286.9,772.2,1937.8,5413.9,
Census Region 1: Northeast,1999.0,Male,Leukemia (C91-C95),GR113-040,,1.5,1.5,2.0,4.5,0.7,12.8,38.3,70.8,117.8,
Census Region 1: Northeast,1999.0,Male,Major cardiovascular diseases (I00-I78),GR113-053,1.7,3.5,10.6,43.9,150.2,1.1,422.6,1153.7,3041.1,8759.8,16.3
Census Region 1: Northeast,1999.0,Male,Malignant melanoma of skin (C43),GR113-028,,,,1.3,3.6,,7.0,12.0,21.7,23.0,
Census Region 1: Northeast,1999.0,Male,Malignant neoplasm of bladder (C67),GR113-035,,,,,1.9,,8.3,29.4,70.9,173.3,
